"image","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"acorn",-0.421937475653838,-0.0381928529347367,-0.0514851838996593,-0.0207103412020925,0.0448260107341776,0.0194881323157286,-0.0866206129898543,-0.168365152292697,0.107464557628776,-0.0405980819865381
"american",-0.326186590398108,0.115374455459536,0.121982991537564,0.0930515719321745,0.160264333002565,-0.175388439794468,-0.11308398084074,-0.0234965475309118,-0.179476040522662,-0.063652099400409
"appetizer",-0.559274739536399,0.0216605169458085,0.052295754773306,0.0329863528362535,0.153605841588687,-0.0645799598946699,0.0943843926167669,-0.00399995003083335,-0.33079005756001,-0.117494044106184
"asian",-0.40006478547972,0.175553530343851,-0.0552582671370498,0.401578130566959,0.32894734684287,-0.0970774238534639,0.0262913393094279,0.0928425712599275,-0.212782650046769,0.0621609899747652
"asparagus",-0.66245859797387,0.16960102269041,-0.250750765528296,0.0247643854254984,-0.0471496712978269,0.155601375324196,-0.103559845681611,0.031724179054635,-0.0383784130889324,-0.088571828217403
"bacon",-0.657450514735479,0.0895535508039621,0.186275464934625,-0.0911148374442939,-0.309705768040475,-0.098397937709669,-0.0482814955034351,0.166382165853863,0.0615815094298536,-0.0349678298137781
"baked",-0.554849381831605,-0.195086854803571,0.300079007995506,0.109620881292004,-0.203202753757704,0.27196957492483,-0.0288853372334364,-0.102743991100453,-0.122243437858193,0.0386416974043225
"bakedbeans",-0.334923433851817,-0.0311696277898358,0.0737952062824534,0.22372856158575,-0.0388488243898505,0.03375175477391,-0.13441215206401,-0.225032373012193,0.143558295713082,0.125925764784703
"bakery",-0.434651002257501,-0.305050294087697,0.287268901085928,-0.0368365698245421,-0.0910511279948065,0.149647899860054,0.100693780873405,-0.0899613287078813,-0.175577988519969,-0.049125297518932
"barbeque",-0.481272963978634,0.0973357527573636,0.122964693526873,-0.0728202161681939,-0.0796189113985853,-0.117643705114987,0.0665555581849801,0.0548186229596387,-0.159130911825087,0.0723474002388785
"barbequesauce",-0.299347887680634,0.060768740117538,0.188474235785236,0.104516991951461,0.052100351430531,-0.176077408291115,-0.0385721827477301,-0.200766080355346,0.0840491699794547,0.0156757070186698
"barfood",-0.345514816411478,-0.0334270183840084,0.0960899383617894,0.178833725551388,0.040587829148274,-0.186989801950069,-0.0321095484509528,-0.190507291387705,0.0463278401741776,0.0412167086239874
"bbq",-0.471325520126553,0.134148587302922,0.137541507559524,-0.0210305613377932,-0.0257691038496244,-0.152748596425438,0.0731142405815827,0.078584707049547,-0.169944730952483,0.0509232619033656
"bbqbeef",-0.183793901004092,0.0393889024520531,0.112127681992465,0.0920707962318054,0.00517446939345036,-0.0165721530462616,-0.00322343221699451,-0.178549180008262,0.0128986505212913,0.0859224542620003
"bbqbeefburger",-0.203711247922115,0.0638248661582484,0.0918943448382775,-0.00697310796662617,-0.0556695357522286,-0.00378370812267879,-0.0231265587052785,-0.145502397419614,0.00667456251693925,0.0557504441189059
"bbqmeat",-0.250255820493806,0.00497715815378108,0.0516584488981902,0.153811808023908,-0.0908192859279074,-0.104837019189963,-0.0397824329519931,-0.162002474194373,0.176330476850268,0.0533410601504022
