"image","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"0000002.jpg",-0.865615236556272,0.0480613993465849,0.102623175154013,-0.0263526763277705,0.00354135538154217,-0.123281442973597,0.0488204081819879,-0.170212133145877,0.0698913242004575,-0.065464913930812
"0000004.jpg",-0.866235516517472,0.215070392154516,0.111904234577238,-0.00606247265031484,0.0282395272848644,-0.128162643610637,0.184025560639253,-0.0381073831770769,0.180043408576625,-0.0548669755164081
"0000006.jpg",-0.831478827722337,0.203769933808862,-0.154912985215985,0.0808210920856687,0.0173798053909527,0.0125619260333571,0.0431796091371245,-0.0400593481901285,-0.0736802925589776,-0.0907932886265691
"0000008.jpg",-0.858142171606478,0.196003881056125,0.145579857324026,0.0304256951453999,-0.152760181312813,-0.133107006675651,0.152822307257956,0.00677445142830636,-0.0823971907819112,-0.0648002356039548
"0000009.jpg",-0.846853967946685,-0.38095427701238,-0.00243233549792026,-0.101844779137599,0.00136037146286342,-0.066367569980701,-0.108549028813691,-0.0491782436137889,0.0556899581183345,-0.0205894179766803
"0000010.jpg",-0.876484262847409,0.176188131905425,0.0754650875509896,0.181152180698571,0.0257719373157635,-0.0339076431195257,0.00839288458803072,-0.122984661230403,-0.0500001297523197,-0.121441916513033
"0000015.jpg",-0.763673669129073,-0.201687763675517,-0.286582257903205,-0.0834633180998974,0.0380388805218788,-0.108004044051951,-0.00933440532136664,-0.223797663823938,0.090740195742608,0.113315259991454
"0000018.jpg",-0.871450025320648,0.0777934458450646,-0.110917173882458,0.0343515012609439,0.00783227837403074,-0.016376471973462,-0.0108794898333263,-0.0470302931237558,-0.150139103362209,-0.00844597191702567
"0000022.jpg",-0.869964144569451,0.162698383348762,0.0926582620911108,0.0117073100066576,-0.0680565326434024,-0.0498643134703302,-0.0131553403790079,-0.0290055980158197,-0.108800000831147,-0.0010215696903212
"0000024.jpg",-0.847936376940424,0.245296856621817,0.105381177385224,0.16318776074444,0.220678931260871,0.0074790307899865,-0.170710161606419,0.0481936840683177,-0.0485909029952131,0.0345877920255013
"0000026.jpg",-0.873887779614203,-0.1266307860722,0.0765952670485044,-0.0303841969656392,-0.0584149090832841,-0.128650555650106,-0.0444057511225417,-0.0699539621244316,0.0214461982281119,-0.116301317160001
"0000030.jpg",-0.86969098170939,0.126047107387627,-0.0920482804742065,0.052658259786479,-0.0265991103533371,-0.0485368784436417,-0.00595293730810354,-0.0594572450384845,-0.06514605269874,-0.060140345188692
"0000032.jpg",-0.637007141832117,-0.0940936992730424,0.033203768615061,-0.0219843094258263,0.0247880863294757,-0.155427309010475,0.0241906680122653,0.071943181564735,-0.137895641572062,0.0201922703659695
"0000034.jpg",-0.809955298329208,-0.430775636829099,0.167429156748824,-0.0909874889122699,-0.0729959278339901,0.0714907248609292,-0.0884743609599047,-0.0351925215434286,-0.13078933390965,-0.0966492956741284
"0000035.jpg",-0.887265614432545,0.0657531779357647,-0.138778270940351,-0.0736145978163973,-0.0513597463244369,-0.00869559218458586,-0.0422882542255124,-0.0921462403555304,-0.0633178473031111,-0.0718203452110342
"0000036.jpg",-0.912348056262492,0.164982086550625,0.149147639192684,0.0749568962356478,-0.0305121432315596,-0.0941894334916531,0.0546763689495262,-0.137119899542704,-0.0364061980758424,-0.0986454812239092
"0000037.jpg",-0.776152440442164,-0.347723014865646,-0.32892789909436,0.0678484877224511,0.0393232135700803,0.00528127110769207,-0.106925661884246,-0.134067604432256,-0.0661051638008518,0.0424904295747195
"0000038.jpg",-0.736646644269777,-0.431633654638103,0.266584218565296,-0.0671416202048002,0.0547377765102787,0.129243810756489,0.127186749321457,0.068651673463858,-0.0188514429929597,0.0485035237837738
