"image","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"0000002.jpg",-0.037432885267362,0.0270282135929962,0.0097342214232508,0.0222336116093353,-0.0607826328594342,-0.0292435089593381,-0.00636542055378966,-0.0202606570284657,0.0343408849837963,-0.0287273352924825,-0.0108252008512322,-0.0244448783202584,-0.000617850735065061,-0.0242130113880983,-0.000222019437223097,-0.0205338897495977,0.0317663111212792,-0.00207063658053953,-0.021313606840992,0.0558496759124698
"0000004.jpg",-0.0369633456344686,0.0530907179954944,0.00578051796876717,0.0069787363719876,-0.0241779108711792,0.0195134996409711,0.0113436660833502,-0.000156500221183339,0.00800795266934669,-0.00561476836894064,-0.0386932785274715,0.0188061694317566,0.0299834237224034,0.0180093538160898,-0.0154421916739101,-0.0106852471691929,0.0279640719172469,-0.00568565112009788,0.00342357317859627,-0.0216224298515139
"0000006.jpg",-0.0361461259395727,0.0546447020154969,-0.0288355325872169,-0.00170470570859303,-0.0345290932679475,0.0109435765657789,-0.021962503497334,-0.0192013521944636,-0.0315042904617296,0.0260546563377383,-0.00358805180995254,0.0446932748116811,0.0392218744849784,0.0386715475548285,-0.000686108647712409,0.0200589591798814,0.00564556427196067,-0.00708399238862984,-0.0426414364258427,0.0109204632312083
"0000008.jpg",-0.0353619754279251,0.050343408482522,0.0204866378351025,0.00101033757046809,-0.0057634636613959,-0.0717359738814059,0.0534843379434162,-0.0294385627551714,0.0021613623882506,0.0207157279988042,0.000868623310514728,0.0125077277609705,0.0212908099825685,-0.0246683176759458,0.0354957926115561,0.0291560112018882,0.03026325693666,-0.0252658110958596,0.0308386353290822,0.0177693224647989
"0000009.jpg",-0.039582538221196,-0.0300739511121161,0.0116847799668943,0.00243475530148372,-0.0104973079333574,0.00528233004700478,0.00852390645371228,0.0163513651422067,0.0275755744210129,0.018290414172459,0.0147958665554675,0.0271705905698322,0.00555205234472237,0.0254840758376545,-0.00686776379415706,0.00602007741485898,0.00574251807202898,-0.0453589905623943,-0.00317984933562729,0.015552847095643
"0000010.jpg",-0.0343899302553147,0.0543824580038529,0.0130660683164359,0.0278714095435457,-0.0204893167972388,0.03883724240142,-0.0660555266376127,0.0195677306012566,0.0229068890983962,0.00661648585857778,-0.0777121166192671,-0.029572731097436,0.0209015426790205,-0.0194304379427533,-0.0133994117473767,0.0154785334483862,0.0680941954740777,-0.00843165665735524,0.0417037989927535,-0.00419593844300766
"0000015.jpg",-0.0321395409143498,-0.00352745836916972,-0.0743501588556303,0.0297725900363117,0.00384438317330491,-0.00738415787005412,-0.0266531698189649,-0.00279807106904044,-0.0334355725081326,0.059469194331395,0.0673138119054468,-0.0135668887252773,-0.0387612183785154,-0.0297771803029478,-0.0378797792021113,0.0251524916479865,-0.032014245161715,0.00409678301882728,-0.0206440523320586,0.022274772912872
"0000018.jpg",-0.0375164431270183,0.0270846560401965,-0.00398054658033185,-0.0207367424072757,-0.0537157659061233,0.012164233493078,-0.0040899973673086,0.00715869041941648,0.0773908487994823,-0.0370365667296634,-0.0155825212336903,-0.0156514997690016,0.00197415978814827,-0.0115260143908386,0.00842352937573461,-0.00852599527118163,-0.0156922124836146,0.0274655444977937,-0.0482347087212955,-0.0426215309738337
"0000022.jpg",-0.0355907367306324,0.0657101415062492,0.0152523805903476,-0.0114884478791743,-0.0172877742009496,0.0224580691716642,0.0135250970480657,-0.0133516245769786,-0.0048768028616484,-0.0125083656961239,-0.0537785413998267,0.0620074077992732,-0.0241027735665642,0.0269959960539548,-0.00942853794356418,-0.0208820171250572,-0.0305530161246243,-0.00967816922381142,0.0349989045549914,-0.0255059858895169
"0000024.jpg",-0.0296301758846091,0.0428663860956813,0.0190160869089529,-0.0135214372039286,0.043166103456878,0.0766330582488021,-0.00318747944710159,-0.0712215884943601,-0.01148050574508,-0.0598831888842923,0.0814216237681968,-0.0671619727864957,0.00661289458200686,-0.0291296016579473,-0.00613557861164375,-0.0314782606599187,0.0837423094955936,-0.00550466265904797,-0.0248858460318225,-0.0856619471722053
