"image","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"alamode",-0.381513729406276,-0.0685209903025373,0.0970662442343736,0.1774302702909,-0.17158660312608,-0.0257463053128499,0.0675666547093496,-0.0148516681887344,-0.0104727845137528,0.0916647884888363,-0.00451849603579999,-0.0706755106300911
"alcohol",-0.328867180824355,-0.0731376038180693,0.018263678351031,0.0507921691758849,0.158915798119142,0.103934998840984,-0.0300834242825472,0.305017091925943,0.0989339327898566,-0.221856293473302,-0.175450588505083,-0.019169681155492
"almond",-0.620310254341794,-0.36912630982976,-0.0573050589871766,0.04559064869509,-0.0602341689776409,-0.0251776726317308,-0.104097845856074,-0.0643432131344641,-0.141330022323703,-0.170396329989747,-0.157562823055543,-0.0169007386742625
"almonds",-0.618854501234352,-0.339527010294988,-0.181271692601417,-0.19047346969414,0.0440959162302411,-0.0974104917182776,-0.00571031881560147,-0.121938966063373,0.133327136526298,-0.014718132113766,-0.342316088859563,0.0726522512110805
"american",-0.310937031710469,0.0832911430385536,0.0634345196630982,0.528278971565753,0.178379763533723,-0.379202289540538,-0.0192405375652738,0.130116901174662,-0.017951409198844,0.167799674777853,-0.105506766327598,-0.0766964415994113
"antipasti",-0.486417633198419,0.239961752982513,0.00590972856343451,-0.0346741183187051,-0.383906100055451,-0.0273591543481885,0.0901784765290496,0.134461604546083,0.355601164461888,-0.171944518054345,-0.136651556458225,0.106601253585043
"aperitif",-0.412747978133431,0.0348259801347446,-0.0169876985352937,0.141794772351458,-0.332664507248689,0.0707545981782772,0.00326265794756945,0.23180689509544,0.401185050297883,-0.2507905127692,-0.0719289967269504,0.0823291625253759
"aperitivo",-0.351435832370879,0.112349522968575,0.0858839442681472,0.192628509896144,-0.338857616878387,-0.0527551898042193,0.12584551788826,0.0939596015291846,0.392699990281089,-0.240306598358283,-0.138185038321276,0.0348807945085304
"appetizer",-0.569995734933672,0.299583740052647,0.080712878304573,-0.0479280616408471,-0.179615602725485,0.156430220995941,0.191687642065666,-0.00282183157211775,0.203158289792334,-0.102669431948057,-0.0291176213536924,-0.0189220488037691
"apple",-0.544267244345685,-0.29951123194116,-0.0525555511354572,0.131931560044178,0.0434591602703189,-0.0170524350470172,0.051548865958522,0.126277759279609,0.0255004635468278,0.129057378780021,0.21335531718642,0.00506555461654299
"applepie",-0.545229861541385,-0.0831998209609093,0.118388458251418,0.164291010307479,-0.12203600164099,-0.30032065656119,0.040149064432431,-0.049627747514206,0.0755863001078105,0.151771922726197,0.0467502589390625,0.0620852865872472
"apples",-0.529042167234536,-0.303908333181617,-0.152719645633794,-0.122580250249784,0.136024899551991,-0.0417887075723375,0.0212964247842959,0.0654681935129467,0.222657297500059,0.339338095516061,0.146839166669605,0.0519225618936205
"applesauce",-0.5921135542684,-0.196884865780012,0.0306842351096181,-0.141933532121877,0.177124382603346,-0.166132258242484,0.0588198353975759,-0.0814324663071338,-0.0555716784086178,0.0485232494279576,0.172497622417693,-0.184303569902187
"apricot",-0.607840132452728,-0.379052405081592,-0.160622546895982,0.156172057311351,-0.114504462338814,0.0928309229077718,-0.0419814149158047,0.0833624964322463,-0.0627113978751896,0.00973137864072188,0.056682223614259,0.0175510842653793
"artichoke",-0.588292912597887,0.0576083021227909,-0.240371223534368,-0.0402652375275885,-0.169569824219288,-0.00713574045684959,0.0833779948655276,0.00430012123858862,-0.0233689225019241,-0.0358346827399193,-0.0222198043798601,-0.0721029377097922
"arugula",-0.606851946262251,0.0619656972078151,-0.35240032154576,-0.117838716280903,-0.154008292057043,-0.111204526501922,0.295138623295178,-0.0565743619464327,-0.0312411754670871,-0.0761739650753648,0.0605669396027269,0.0469733553975018
"asian",-0.394477684966331,0.135130833850145,-0.0371681675684505,0.552565301047695,0.154427447488095,-0.110984818525205,-0.162036424348959,-0.104549269235927,0.0251891037228935,0.167469820331493,-0.105629970029224,-0.028866145173462
"asparagus",-0.666395621941785,0.0809244256122029,-0.353790902553059,-0.100634542409596,-0.116755816100282,0.00717753645913467,0.0405376687585199,0.0175775932335684,0.069719747945507,0.13248884758194,0.0732326232308631,-0.0949939221703081
"avocado",-0.65880080188065,-0.0635678126610039,-0.205078402442502,0.0146848394329918,0.0785099557352493,0.096003393811411,0.202104639732621,-0.140559075168295,-0.0450819331818562,-0.176089305933742,0.109269397114818,0.0166382427140528
"bacon",-0.661705267228376,0.110286943391405,0.0309669908314475,-0.138601741787049,0.111898248756709,-0.119484847417802,0.0462990648527648,0.224682833237674,-0.190574596367991,0.0562348597441204,0.0662859439316096,0.0866221332256562
"bagel",-0.575130347849714,-0.0052655492999786,0.283227330303163,-0.130384572314258,0.0134439462053248,-0.163149108265374,0.0598905453782519,0.0139994774507654,-0.107937618025453,-0.210200018412857,0.229211659890361,0.242522110240101
"baguette",-0.566193707855665,0.0472034002186574,0.109914146166912,-0.117667200294202,-0.17552549320237,-0.172515461575098,0.01200781002079,0.116302337471985,0.0172003685277486,-0.0692891728630678,0.110669555657745,0.296830774420548
"baked",-0.564198182879511,-0.0529385316213802,0.231472920275074,-0.255371664965316,-0.0472705605951031,-0.0725861207329334,-0.163356167212644,0.0814309063608818,0.0412717542275993,0.192703525758521,-0.0284598379588741,0.00942403317862919
"baking",-0.469376863065196,-0.133695391553618,0.232165615553395,-0.229412073716604,-0.0897428455767898,-0.0740230189972272,-0.136399407612285,0.0286425089763438,0.00852241519712438,0.0874074249890377,-0.0622691954354612,-0.0860606359205048
"baklava",-0.562902218684592,-0.0540630139989996,0.251733634739554,-0.039055320373654,-0.282167382009555,-0.0425228816757792,-0.0152442771745295,-0.0336344910041693,0.158647085375388,0.00731104090512687,-0.096625703303525,0.0658572132210022
"balsamic",-0.560643873757277,-0.101786541339489,-0.223687343547889,0.0717257096246299,-0.173981361997614,-0.0658939471943601,0.125084984896162,0.128645329270874,-0.0892240928610257,-0.11306342012835,-0.108390626843929,-0.00191451739993132
"banana",-0.613513864013345,-0.309592576776081,0.0148158600797014,0.112134884842432,0.175779303928824,0.0269083181632551,0.00279895615002234,-0.090263216358442,-0.000199418871492732,-0.00631934132937214,0.219288376092832,0.0091676579221284
"bananas",-0.551501208765127,-0.311152766942025,-0.085276549077749,-0.0931015277930066,0.30518701356648,0.0139974458443777,0.0438728631161358,-0.143180140191585,0.244634115282589,0.151076229397188,0.0844153509912614,0.016597103926924
"bangers",-0.326869021039324,0.172306601402085,0.0381321888531329,0.031399143690722,0.116722335783716,-0.0610721523004439,-0.0358144617048361,0.126518569000963,0.0362702439841577,0.151127309751511,0.0209432139322709,0.0154543994785787
"bao",-0.419506220157594,0.176412570696571,0.135651878082533,0.1144435986705,-0.0945298627341281,0.197834746606594,-0.212591221170847,-0.201064088830328,-0.0565969279899644,0.106805628040878,0.0388050837732126,0.189028263572781
"bar",-0.257687289217667,-0.00639058701942732,0.240781083328672,0.115135652969047,0.0250026698289,0.137206380209603,0.0695667002781955,0.154341346697103,0.122841713366168,-0.234462091090894,-0.06140373595208,0.054300603857753
"barbecue",-0.445479810772749,0.282487150413955,0.103386638339905,0.0279298031430701,0.0401457186440365,0.180839690482784,0.0722208397792007,0.385283542150477,0.0975066141056102,-0.00469942971188422,0.0371979908284495,-0.137283974059097
"barbeque",-0.465186852711956,0.279099066947649,0.113070622421976,0.0605870259392925,0.0677230938829772,0.170455667032719,0.108643344607781,0.373138046417549,0.11219320679389,0.00211550185159299,0.0296608761960091,-0.12472659718932
"bars",-0.298080318193772,-0.126293681720583,0.236651435971826,0.00174955278267152,0.0563888064114081,0.0727423810920641,0.0126859675336393,0.0418807399701027,0.130005426115846,-0.10121392428127,-0.179370119067851,0.0733566376031108
"basil",-0.630918726032877,-0.0288750739207539,-0.372231484056281,0.0572730252342757,-0.177353281706518,-0.0221738711663253,0.203156164908028,-0.0873104945861357,-0.0941624190761929,-0.108371741802428,-0.0614864252251153,-0.0232202894654865
"batter",-0.449130863786133,-0.076079343653977,0.183464131561984,-0.134703618035146,-0.0228889307309903,0.0710903349053054,-0.142523395766823,-0.148242560642537,-0.182067324236303,0.0782935354094039,0.0480191122266442,-0.0421209590842345
"bavarian",-0.417244379890175,-0.0546109137681339,0.207939564858437,0.377225689753191,-0.200091166111091,-0.247460084509158,-0.0506874476835355,0.140531309695145,-0.0843023814927727,0.133003092841589,-0.0535345380160838,0.0498557357801229
"bbq",-0.486633704013439,0.266991854361376,0.0981784503103139,0.176592285541808,0.0771278327884848,0.0500250619283447,0.13604749724135,0.268432842980026,0.0209145770015408,0.0261172760877608,-0.0203718858351852,-0.0951289444367754
"bean",-0.539988410141399,-0.0267126552533476,-0.0754985613330505,0.0764334073457889,0.178644301291979,0.0253007387010896,-0.0830949983873115,-0.0538092101734034,-0.110519865437463,-0.105038698954567,0.0816409617267938,-0.17358263102182
"beans",-0.574704256531123,0.0118931762373735,-0.187021225510802,-0.103318970589485,0.246575579986374,-0.099997441176165,-0.0632039195612629,-0.0487992155712667,0.0686515224540875,0.0168964546226225,-0.0400962469707847,-0.190871239055008
"beansprouts",-0.561463426853122,0.176557226046485,-0.327281574345888,0.028170572171804,0.0587340989468967,0.0615297718757079,-0.124534092813022,-0.294581224708213,0.00626045184057901,0.152615571410796,0.0124862541334269,0.230406593668082
"beef",-0.548085812149033,0.309506665878582,-0.130372087321949,-0.0797980153255052,0.205432645614152,0.00953159540417613,-0.147246623348046,0.275281523785993,-0.0501425113197702,0.0258868921270458,-0.0265784330794286,-0.0738542223942792
"beer",-0.468406769040768,0.0658733746104111,0.171393142216293,0.103833102371877,0.145835901069564,0.0727052430389064,0.0612976698714124,0.343148625032145,0.142832760302786,-0.190809516800592,0.0403488581397543,0.0094902185649858
"beet",-0.555731782266725,-0.151259480714481,-0.253200676445663,0.0498996210544674,0.112320116228036,-0.0197324392442457,-0.0710504533072267,0.0787273909267193,-0.0374800585626957,-0.0403705546902694,0.160814662348258,-0.109376322975367
"beetroot",-0.642655876655767,-0.0947242443161044,-0.299497349859271,-0.0160847532957926,-0.091341868421573,-0.0423040534713557,-0.115572290021033,-0.00587119398617554,0.0755995357102794,-0.0475086776335117,0.175187782494056,0.0242367093301416
"belgian",-0.361016137497595,-0.0635049060800442,0.137064411642021,0.456483401432847,-0.0231863275156829,-0.345848417493407,-0.0980922305851602,0.127904389532867,-0.0464431689698874,0.077311719097574,-0.0850977193280199,-0.0200240246413788
"bellpepper",-0.603722072063352,0.0859658352301966,-0.316375585839128,-0.00248914183740594,0.0281270691049757,-0.0706660926966641,0.0786199888449661,-0.164484606321948,-0.0784947476419817,0.0783193004017009,0.0960372702024903,0.0344803063968202
"bellpeppers",-0.569982139703196,0.109438347385287,-0.293200403450061,-0.0568011241116353,0.0673810106335463,-0.0914029206987817,0.0805319801909808,-0.209410106871026,0.00743490519703813,0.127618952021108,0.0717000068220592,0.0541310880792881
