"image","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"bakedgoods",-0.24155780657702,0.00840602300598512,0.00539857690024034,0.0263882300979857,-0.0295167262183124,-0.0190315622188577,-0.0164377084688246,-0.0501962715876291,-0.0256884405434006,-0.0341339649516927,0.0108624322313642,0.0283467648369446
"bakedpotato",-0.230294910777748,0.0539453203618385,0.0442425620889164,0.0609820522131567,0.00697907800988432,-0.0122366774247878,-0.0356540445589515,-0.0515327316996612,0.0214343072824774,0.0367306413123405,0.0742491160640739,-0.00418586426720833
"bakedpotatoes",-0.218176104935887,0.0443424941718655,0.071833998178602,0.0421673324809559,-0.0373675141247762,0.0301944796959518,0.00373114438187944,-0.0237779822236684,0.0158034330988936,0.0178631189145588,0.0411039837046033,0.0231652010871579
"baking",-0.459210422972544,0.135063345555684,-0.251619274060186,-0.087495357792338,-0.214119267932094,0.0795066464365315,0.0151507411760866,-0.021736486111451,0.015590372784112,0.036554457674625,-0.107823895194785,-0.000704304576988866
"baklava",-0.563891950429517,0.0924349256714062,-0.287616906307967,-0.266119832835575,-0.0695607392669634,-0.0349974376512415,0.102116717546542,-0.00803761161455556,-0.0966194124050933,-0.155712915896282,0.0931619215715369,0.188580707994423
"balsamic",-0.566876502212236,0.110907050890273,0.214730550411321,-0.147253419288425,0.0309809296421193,-0.231106645571138,-0.0456331164425912,0.0494348336889308,-0.138420779608836,0.132673666989281,0.0501789403372258,0.0612252024096884
"balsamicvinegar",-0.168874575256185,-0.0271013426951641,0.162321148974262,0.0695955026090595,-0.00749443985853424,-0.0959443276296577,-0.0229314446214388,-0.128527765525362,-0.0497833261624755,0.0795152423306541,0.0176149870348936,0.0973443358088865
"banana",-0.616749281168816,0.319049451280571,-0.0162857048884172,0.243741254795813,0.123823981390722,0.0427393377877249,-0.0439179163471915,-0.0592327016773565,0.180501467242444,-0.0937762274702789,0.0721867159101871,-0.151560384752177
"bananabread",-0.252091716011538,-0.00985934308605525,0.0336073181518163,0.0835766745344173,-0.0179697045348077,0.0679592603400404,-0.0543170798677037,-0.0118678248199115,0.0138259006415973,-0.0128204367908176,0.0238456803774005,-0.00305874917774048
"banananutbread",-0.223426812546543,0.0669004841200828,0.0186083100986917,0.0596162968049193,-0.0161638271906417,0.0295181303613388,-0.153160403542041,-0.0851806602950254,0.00638627308227902,-0.00529413629495053,-0.0578590903401258,-0.0795182098635492
"bananas",-0.560285615699232,0.29159438865197,0.0897391566141479,0.323931587597588,-0.107303709874914,0.234357583784605,0.162466710551317,0.0277346170894133,0.0601885345533913,-0.169060610800081,0.100412431622545,-0.0900972870388033
"bangers",-0.30703136693465,-0.165142651991897,-0.0324637974536801,0.0842377259530251,-0.0408248242759063,0.142974055655231,-0.0400643156434607,0.0514344540524331,-0.0826239433499486,-0.0323140071237249,-0.0441624145213149,0.185783706596865
"bao",-0.409892131426757,-0.133656211451967,-0.163730911336601,-0.0998611290092384,0.151586474697561,0.142552415583663,0.013287077370317,-0.217316144087306,-0.06249357407795,-0.148959386927592,-0.135783169331883,-0.0856444296099537
"baobuns",-0.26208153222459,0.0137684129227827,0.0283563885500989,0.0209465132642845,-0.0165616538411538,0.123892268394315,0.0188574410227247,-0.155806659675962,-0.0490447501053672,0.0114339006639252,0.00934644725313076,-0.00949366016172168
"bar",-0.231622977085934,0.0272473599815184,-0.193447828572399,0.0368890417811181,0.167572908935406,-0.0404691637887382,-0.00726457903675408,-0.0252016727164026,-0.016762962716239,-0.019301577850581,0.19507660952747,-0.0166552960164871
"barbecue",-0.429410033516281,-0.2218427251913,-0.110042167658899,0.0372799771545756,0.157802327102632,0.129217435095044,-0.14980048894184,0.165499157941491,-0.141903562003288,0.101312907599842,0.0957439455677408,0.105767033822048
"barbecuesauce",-0.210589337652677,-0.0112162881956826,0.0236674820700042,0.031494974407233,0.0226281545200298,-0.0252043387247101,-0.0595716808148133,0.00210737750096397,-0.0554254797156142,0.104231683048525,0.0304075980545081,0.0501017205597137
"barbeque",-0.445845224487446,-0.217815301917195,-0.109176648534431,0.0672791827653242,0.1731354149322,0.11094594254289,-0.120275895815698,0.172923768067845,-0.136723060840174,0.0773024765678165,0.121218388494743,0.1398555937699
"barbequesauce",-0.206292826472427,-0.0233782100203671,-0.00213833909736247,0.0510763648525209,0.088413665408029,-0.0177209606221827,-0.107716895145373,-0.0440064835329868,-0.0093517484331998,0.0597747673539723,0.0399361648035747,0.0599825714492028
"barfood",-0.223600437460149,0.0199398229134813,-0.0257332884121798,0.0513210203195941,0.129671225562586,0.0349154928346314,-0.0745366882167653,-0.0566587515510782,0.00745146532206543,-0.0371800031865577,0.111333799636314,0.061759773186213
"bars",-0.276902233014272,0.126191934416053,-0.198838882612407,0.033257797276422,0.0066657536805225,0.0209084171661903,0.105061247753244,-0.081138419753759,-0.0372974346295361,-0.00942830686084947,0.1557407736576,-0.0159237310850344
"basil",-0.647644938914474,0.00642890625395195,0.359544102308743,-0.154927321522851,0.0649771224534829,-0.249282292786899,0.0907720288239438,0.0837585904069362,0.0316923553580572,0.0484857370481003,-0.0785810023555973,0.0428742909741912
"batter",-0.445267831945798,0.0726370834403089,-0.211772052063705,0.00688792214742616,-0.0203594742626276,0.0688599407589031,0.0761138170968766,-0.0886413721209395,0.0707848858701813,0.0298703279771927,-0.202800704332601,-0.0338055514419591
"batteredfish",-0.154136022268523,0.0187755944208755,0.0716403004560352,0.0444647695723932,0.0434599308887476,0.11197226619744,-0.0266211574266559,-0.0422830403996362,-0.00458046278618065,0.065513398621609,0.0770599048470731,-0.0023023738811154
"bavarian",-0.390080737817138,0.113314309453946,-0.186680907061163,-0.149839660809023,0.0578528754542575,-0.0725739014842792,-0.145129205945969,0.0278918402182025,-0.100641458430911,0.0130762936669822,-0.0909199555791254,0.0182376210493666
"bbq",-0.464879900812978,-0.200094213217591,-0.0832769776084267,0.082490722628187,0.160596371147185,0.0151917354229898,-0.0590420935691685,0.121969013620238,-0.12465224270514,0.0695200851281329,0.0666974766576507,0.111326487821922
"bbqbeef",-0.103759089855344,0.0223483965471099,0.00228563542501019,-0.0263980715976429,0.00823056604545243,-0.020830211243643,-0.0643596109740321,-0.0419620345231314,-0.0307729693794903,0.0507563443384368,0.122925762117432,0.0112571340683942
"bbqbeefburger",-0.117650730911467,-0.0102936165350531,-0.0122801422940823,0.0199148952167533,-0.0583592585574182,-0.011521030289518,-0.15498034192321,-0.0403593536088953,0.0330552591889621,0.0453708791709087,0.155146984901113,0.123206813791781
"bbqmeat",-0.193329869136769,0.0568117787769337,0.103102027161445,0.0868268574450485,-0.0314365065654985,0.0480830373754143,-0.0144081449206215,-0.0770845093996349,-0.069494878540552,0.0557282512455135,-0.070514899144878,0.0128938118324405
"bbqporkribs",-0.0334150986191533,-0.00448335596752387,0.0229892879706986,-0.0234801241200381,-0.0485086330275194,-0.103863974489057,-0.0212030940120489,0.0119987841068924,-0.036149879879718,0.0861324221492144,-0.0433975522728282,-0.00109827838423738
"bbqpotatochips",-0.108974323016597,0.106249204928628,0.142745264821327,0.0117039424206043,-0.0132687872681803,-0.0546660867388009,0.000560329419501912,0.0262559080957146,-0.0820144103345184,-0.00746580535823124,0.0321468788656562,0.00138272327632169
"bbqsauce",-0.227493277876407,-0.101931801219484,0.0302019023167069,-0.0180215010419728,0.082844120383334,-0.00738766589595075,-0.0473710351911357,-0.0558074314960953,-0.0711724635925523,0.0324027662104537,0.0113519774835644,0.0783991969509105
"bean",-0.53504693626484,-0.0062904925139724,0.0732027774536926,0.160527741853097,0.0979281722742101,0.0604507399230233,-0.0258520896367858,-0.116833886283405,0.185863897560072,0.150367629427161,0.0273090866119069,-0.0407107373112067
"beans",-0.574394581632104,-0.0621637780196422,0.179549032351274,0.193094453329149,-0.187992314469195,0.169339547119471,0.114332778785114,-0.0210189545932211,0.106420164299741,0.114214237307986,0.0391995580957368,0.0387041692175648
"beansprouts",-0.572110315440244,-0.185435847765455,0.31194709618736,0.0120290824512676,-0.00386502260031707,0.141990668987089,0.102527362316819,-0.22847658723947,-0.0547511687052017,-0.183540506703921,-0.2252858202305,-0.00406568807125233
"beef",-0.543037419186388,-0.325547981611181,0.0906134326826931,0.123536590950136,-0.0461969547502155,0.193003616801094,-0.212123589948342,-0.0199087693637032,-0.126593527740344,0.197723118786353,0.138589644920604,-0.000974891474483656
"beefribs",-0.116856148226804,-0.0260466144264335,0.111680124443938,-0.0632536900392458,-0.0443423498942886,-0.0394290309800996,-0.0326638599210501,0.0393367994836809,-0.0454286511568674,0.121124866404876,-0.0311837026707312,-0.0394411490209703
"beeftenderloin",-0.183638032009924,-0.00690371423177093,0.115570430645196,0.09059990014534,0.0328699276156007,0.034085452424922,-0.0724293772488367,-0.0290178953381258,0.00338552405199246,0.0552035318185308,-0.0634394226417527,-0.00504605564441017
"beer",-0.448488795404401,-0.0740085561869656,-0.139941195301324,0.166779226578829,0.0965542655565705,0.0395597604489516,-0.176549742497598,0.0784312592452903,-0.0762726973452101,0.0523659438138292,0.133362322723662,0.124957534779718
